1,42
2,703
11,767
13,1067
17,792
18,794
23,1652
28,1107
33,165131
34,437
35,165080
36,82900
37,75948
44,159834
45,165601
46,102
47,165048
52,1252
79,160563
80,1065
81,1066
84,5085
85,5089
86,5096
87,5242
88,5497
97,159635
181,512
188,5008
190,136455
191,121697
193,1727
194,143264
196,139084
199,165589
201,140238
203,122496
204,1727
215,1542
225,165934
240,165350
243,160539
279,171
280,190
311,780
346,1060
347,1056
348,5615
349,1059
350,5555
351,1058
352,1054
353,1063
387,165243
389,1354
391,1356
405,5279
407,5275
408,5278
421,1427
439,114100
441,1438
454,1083
459,5618
464,1560
520,1073
523,1072
524,1074
526,1732
527,1731
528,1728
536,1727
543,130428
554,142630
555,136443
557,165767
568,5086
569,5087
570,5088
571,5090
573,5226
574,147096
575,5272
577,5596
625,112992
650,160559
671,121629
706,133473
732,165893
778,1434
789,1175
816,5253
850,160290
856,1206
858,160555
859,160554
860,5356
861,1204
862,1659
863,159599
864,1205
865,1206
866,1207
868,1662
870,142177
871,1660
872,1663
884,160545
906,123801
908,1538
910,162946
911,162944
915,1542
952,86663
953,627
954,624
955,796
956,70056
957,802
958,805
959,80586
960,75523
963,165257
978,160534
984,1154
988,165325
989,119537
990,165573
993,121657
994,165332
995,5954
1000,1342
1001,165313
1002,165327
1005,165316
1006,165326
1008,165330
1009,162750
1010,160026
1012,162752
1013,165039
1015,5328
1017,5332
1018,5330
1019,117543
1020,5012
1021,165345
1022,5339
1023,5018
1024,5027
1025,5340
1026,5337
1027,5030
1029,823
1030,114100
1031,990
1032,5034
1033,5033
1034,5035
1035,5344
1036,5046
1037,5350
1038,5043
1039,5354
1040,5042
1041,5041
1042,165317
1043,160442
1046,119566
1047,136201
1049,971
1050,164943
1051,162729
1052,160540
1053,160538
1055,160541
1066,160542
1068,160429
1069,1856
1070,1593
1071,164936
1072,1857
1073,1594
1074,164939
1076,5608
1079,1712
1088,159298
1099,1151
1103,5585
1105,163555
1107,165333
1109,165318
1113,165325
1153,5498
1184,1652
1186,813
1187,83412
1188,165531
1189,161364
1190,104565
1191,103166
1198,74250
1201,76488
1213,635
1223,817
1226,104565
1227,164505
1245,160221
1246,165586
1249,1207
1256,165945
1257,165941
1258,165303
1259,165685
1340,165678
1397,165288
1398,165287
1404,165676
1427,163523
1485,165289
1520,159465
1521,159461
1522,1056
1523,1714
1527,164945
1533,164512
1535,164180
1536,160530
1537,164181
1539,165662
1540,165665
1541,165772
1542,165774
1543,165076
1544,165075
1545,165635
1546,165074
1547,165060
1548,165626
1549,165616
1551,165617
1552,165062
1555,160862
1556,160858
1570,164423
1571,1073
1574,1074
1575,1074
1581,165707
1583,165637
1589,165706
1594,165080
1596,163101
1600,165622
1602,165621
1613,160554
1615,162325
1628,163736
1635,374
1637,165305
1659,165866
1660,165865
1661,164948
1703,162227
1704,165304
1714,116743
1715,125886
1717,1021
1722,160567
1723,160569
1724,160566
1725,165056
1727,206
1728,165770
1730,164426
1731,5376
1732,160535
1733,164429
1734,5089
1735,5090
1741,5271
1742,374
20901,153087
174178,165339
7777749,162729
7777750,164946
7777751,160291
7777752,1714
7777753,165426
7777757,159218
7777758,77918
7777759,160581
7777760,165305
7777761,160535
7777762,165829
7777763,165830
7777764,165238
7777765,165240
7777766,165712
7777767,1066
7777768,160563
7777779,164349
7777780,165360
7777783,165679
7777784,165214
7777785,115505
7777786,116505
7777871,165050
777870,165047
7777787,138291
7777788,165590
7777789,120345
7777790,114382
7777791,165052
