1537,164181
1535,164180
1536,160530
1256,165945
7778361,165943
7778362,165942
1259,165685
1258,165303
1257,165941
7778111,165708
7778108,164506
7778109,164513
7778410,165702
7778108,164506
7777813,817
7777931,162563
7777916,162199
7777811,160124
7777810,1652
7777814,165522
7778139,160104
7777922,792
7778554,164505
7777812,162565
7777929,104565
7777930,164854
7778109,164513
7777933,165523
7777934,162201
7777935,165524
7777880,162561
7777818,164511
7777919,162200
7777921,162560
7777918,165525
7777920,165526
7778124,165527
7778125,165528
7778126,165529
7778128,165530
7778129,165531
7778130,165532
7778132,165533
7778133,165534
7778134,165535
7778135,165536
7778137,165537
7777936,164512
7778131,165539
7778136,162564
7778127,165540
7778555,165541
7778556,165542
7778557,162559
1596,163101
7778517,792
33,165131
1615,162325
7778354,165544
7778353,622
7778140,1652
952,86663
1542,165774
47,165048
1539,165662
1540,165665
1541,165772
7778408,162240
7778364,165724
1227,164505
1226,104565
1184,1652
1223,817
17,792
23,1652
1190,104565
1189,161364
1191,103166
952,86663
953,627
956,70056
958,805
957,802
959,80586
960,75523
1213,635
1186,813
1187,83412
1188,165531
18,794
1533,164512
954,624
955,796
7777825,165726
963,165257
1201,76488
1198,74250
35,165080
1704,165304
1594,165080
11,767
37,75948
36,82900
34,437
7778365,165725
1543,165076
1546,165074
1544,165075
1545,165635
1600,165622
1601,1601
1549,165616
1550,1550
1602,165621
1593,1593
1548,1548
1553,1553
1581,165707
1582,1582
1583,165637
1584,1584
1585,1585
1586,1586
1587,1587
1588,1588
1589,165706
1551,165617
7778376,165639
7778377,165638
1591,1591
7778385,165634
7778431,165620
1547,165060
1552,165062
7778548,165068
7778558,165618
7778407,165723
1562,1562
1561,1561
1555,160862
1556,160858
7778370,159368
7778371,1732
520,520
524,524
523,523
7778374,160856
7778372,1443
7778009,164989
7778015,164989
7778442,164991
7778443,164992
7778444,164994
858,160555
1613,160554
7778053,164947
7778052,164949
1659,165866
1660,165865
1661,164948
1052,160540
7778237,160536
33,5256
884,160545
1053,160538
1055,160541
243,160539
79,160563
80,1065
81,1066
1732,160535
978,160534
1246,165586
80,1065
81,1066
1246,165242
28,1107
7778362,165241
7777765,165240
7777764,165238
79,165239
7778147,159599
215,1542
911,162944
1076,5256
908,1538
906,162591
1520,159465
910,162946
789,1107
1521,159461
351,1058
348,135704
346,1060
350,5555
348,1057
789,5622
347,1056
349,1059
7777749,162729
464,1560
1049,971
1527,164945
459,5622
1076,5608
7778392,1513
7778367,103231
1051,162729
859,160554
7778053,164947
7777768,160563
7777767,1066
915,1542
352,1054
1050,164943
97,159635
7777803,165356
7777806,7777807
7777808,164517
7777804,162904
856,1206
1022,5339
1017,5332
